t,q1,q2,q3,q4,q5,q6,qd6,qdd6,qd5,qdd5,qd4,qdd4,qd3,qdd3,qd2,qdd2,qd1,qdd1
0.392,0.0,0.0,0.10756480000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5488,1.4,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.11200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5599999999999999,1.4,0.0,0.0,0.0,0.0
0.40800000000000003,0.0,0.0,0.11652480000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5712,1.4,0.0,0.0,0.0,0.0
0.41600000000000004,0.0,0.0,0.12113920000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5824,1.4,0.0,0.0,0.0,0.0
0.424,0.0,0.0,0.1258432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935999999999999,1.4,0.0,0.0,0.0,0.0
0.432,0.0,0.0,0.13063679999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6048,1.4,0.0,0.0,0.0,0.0
0.44,0.0,0.0,0.13551999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,1.4,0.0,0.0,0.0,0.0
0.448,0.0,0.0,0.1404928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272,1.4,0.0,0.0,0.0,0.0
0.456,0.0,0.0,0.1455552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6384,1.4,0.0,0.0,0.0,0.0
0.464,0.0,0.0,0.1507072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6496,1.4,0.0,0.0,0.0,0.0
0.47200000000000003,0.0,0.0,0.15594880000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608,1.4,0.0,0.0,0.0,0.0
0.48,0.0,0.0,0.16127999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6719999999999999,1.4,0.0,0.0,0.0,0.0
0.488,0.0,0.0,0.16670079999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6831999999999999,1.4,0.0,0.0,0.0,0.0
0.496,0.0,0.0,0.17221119999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6943999999999999,1.4,0.0,0.0,0.0,0.0
0.504,0.0,0.0,0.1778112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7056,1.4,0.0,0.0,0.0,0.0
0.512,0.0,0.0,0.1835008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7168,1.4,0.0,0.0,0.0,0.0
0.52,0.0,0.0,0.18928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,1.4,0.0,0.0,0.0,0.0
0.528,0.0,0.0,0.1951488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392,1.4,0.0,0.0,0.0,0.0
0.536,0.0,0.0,0.2011072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7504,1.4,0.0,0.0,0.0,0.0
0.544,0.0,0.0,0.2071552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616,1.4,0.0,0.0,0.0,0.0
0.552,0.0,0.0,0.2132928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7728,1.4,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.21952000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784,1.4,0.0,0.0,0.0,0.0
0.5680000000000001,0.0,0.0,0.22583680000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7952,1.4,0.0,0.0,0.0,0.0
0.5760000000000001,0.0,0.0,0.23224320000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064,1.4,0.0,0.0,0.0,0.0
0.584,0.0,0.0,0.23873919999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8175999999999999,1.4,0.0,0.0,0.0,0.0
0.592,0.0,0.0,0.24532479999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8287999999999999,1.4,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,1.4,0.0,0.0,0.0,0.0
0.608,0.0,0.0,0.25876479999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8512,1.4,0.0,0.0,0.0,0.0
0.616,0.0,0.0,0.18076118865466734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8499531012470746,1.4,0.0,0.0,0.0,0.0
0.624,0.0,0.0,0.1932106010596557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8387531012470746,1.4,0.0,0.0,0.0,0.0
0.632,0.0,0.0,0.20566001346464396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8275531012470746,1.4,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.21810942586963225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8163531012470746,1.4,0.0,0.0,0.0,0.0
0.648,0.0,0.0,0.23055883827462062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8051531012470745,1.4,0.0,0.0,0.0,0.0
0.656,0.0,0.0,0.2430082506796089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939531012470745,1.4,0.0,0.0,0.0,0.0
0.664,0.0,0.0,0.25545766308459716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7827531012470745,1.4,0.0,0.0,0.0,0.0
0.672,0.0,0.0,0.26790707548958553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715531012470745,1.4,0.0,0.0,0.0,0.0
0.68,0.0,0.0,0.2803564878945738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7603531012470746,1.4,0.0,0.0,0.0,0.0
0.6880000000000001,0.0,0.0,0.2928059002995622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7491531012470745,1.4,0.0,0.0,0.0,0.0
0.6960000000000001,0.0,0.0,0.3052553127045505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379531012470745,1.4,0.0,0.0,0.0,0.0
0.704,0.0,0.0,0.3177047251095385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7267531012470746,1.4,0.0,0.0,0.0,0.0
0.712,0.0,0.0,0.33015413751452694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7155531012470746,1.4,0.0,0.0,0.0,0.0
0.72,0.0,0.0,0.3426035499195152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043531012470745,1.4,0.0,0.0,0.0,0.0
0.728,0.0,0.0,0.35505296232450356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931531012470746,1.4,0.0,0.0,0.0,0.0
0.736,0.0,0.0,0.3675023747294918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6819531012470745,1.4,0.0,0.0,0.0,0.0
0.744,0.0,0.0,0.3799517871344801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707531012470747,1.4,0.0,0.0,0.0,0.0
0.752,0.0,0.0,0.3924011995394685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6595531012470746,1.4,0.0,0.0,0.0,0.0
0.76,0.0,0.0,0.40485061194445676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483531012470747,1.4,0.0,0.0,0.0,0.0
0.768,0.0,0.0,0.417300024349445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6371531012470746,1.4,0.0,0.0,0.0,0.0
0.776,0.0,0.0,0.4297494367544334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6259531012470745,1.4,0.0,0.0,0.0,0.0
0.784,0.0,0.0,0.44219884915942165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147531012470746,1.4,0.0,0.0,0.0,0.0
0.792,0.0,0.0,0.45464826156440996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6035531012470745,1.4,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.46709767396939833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5923531012470746,1.4,0.0,0.0,0.0,0.0
0.808,0.0,0.0,0.4795470863743866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5811531012470745,1.4,0.0,0.0,0.0,0.0
0.8160000000000001,0.0,0.0,0.49199649877937485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5699531012470744,1.4,0.0,0.0,0.0,0.0
0.8240000000000001,0.0,0.0,0.5044459111843632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5587531012470746,1.4,0.0,0.0,0.0,0.0
0.8320000000000001,0.0,0.0,0.5168953235893515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475531012470745,1.4,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.5293447359943397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5363531012470746,1.4,0.0,0.0,0.0,0.0
0.848,0.0,0.0,0.5417941483993279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5251531012470747,1.4,0.0,0.0,0.0,0.0
0.856,0.0,0.0,0.5542435608043162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5139531012470746,1.4,0.0,0.0,0.0,0.0
0.864,0.0,0.0,0.5666929732093047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5027531012470745,1.4,0.0,0.0,0.0,0.0
0.872,0.0,0.0,0.5791423856142929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49155310124707463,1.4,0.0,0.0,0.0,0.0
0.88,0.0,0.0,0.5915917980192812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48035310124707453,1.4,0.0,0.0,0.0,0.0
0.888,0.0,0.0,0.6040412104242695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46915310124707466,1.4,0.0,0.0,0.0,0.0
0.896,0.0,0.0,0.6164906228292578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45795310124707456,1.4,0.0,0.0,0.0,0.0
0.904,0.0,0.0,0.6289400352342462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44675310124707446,1.4,0.0,0.0,0.0,0.0
0.912,0.0,0.0,0.6413894476392344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4355531012470746,1.4,0.0,0.0,0.0,0.0
0.92,0.0,0.0,0.6538388600442228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4243531012470745,1.4,0.0,0.0,0.0,0.0
0.928,0.0,0.0,0.6662882724492111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131531012470746,1.4,0.0,0.0,0.0,0.0
0.936,0.0,0.0,0.6787376848541994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4019531012470745,1.4,0.0,0.0,0.0,0.0
0.9440000000000001,0.0,0.0,0.6911870972591876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3907531012470744,1.4,0.0,0.0,0.0,0.0
0.9520000000000001,0.0,0.0,0.703636509664176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37955310124707453,1.4,0.0,0.0,0.0,0.0
